organization_name,type,hq_address,hq_city,hq_state,country,main_phone,email,website,annual_budget_usd,fleet_size,electric_equipment_status,ze_mandates,charging_infrastructure,energy_broker_priority,source_urls
"Port of Los Angeles (City of Los Angeles Harbor Department)",Port Authority,"425 S Palos Verdes St",San Pedro,CA,US,"(310) 732-3508",contactus@portla.org,https://www.portoflosangeles.org,"$3.4B (FY2026/27)","83 ship-to-shore cranes; ~1932 pieces cargo-handling equipment across 25 terminals","103 ZE drayage trucks deployed with 247 more on order; 44 battery-electric forklifts at Berth 55 (SSA Marine); $412M EPA grant to electrify 400 diesel CHE units; $500M grid upgrade underway","All drayage trucks ZE by 2035; CARB Zero-Emission California Ports (ZECAP) mandate; Clean Truck Fund collecting ~$123M since 2022","Expanding charging depots across terminals; $500M electrical grid upgrade; multiple charging/fueling depot investments from $93M CTF allocation",Tier 1 - Critical,"https://portoflosangeles.org/about/contact; https://portoflosangeles.org/references/2026-news-releases/news_061126_budget; https://www.electrive.com/2025/05/12/ssa-marine-switches-to-battery-electric-forklift-fleet-at-port-of-los-angeles/"
"Port of Long Beach (Long Beach Harbor Department)",Port Authority,"415 W Ocean Blvd",Long Beach,CA,US,"(562) 283-7000",billing@polb.com,https://www.polb.com,"$1.05B (FY2026)","~100 electric automated cranes (LBCT); 72 electric stacking cranes; 300+ rolling stock at LBCT; 33 battery-electric yard tractors at SSA Pier C","$58.2M allocated for 61 ZE cargo-handling units + 21 chargers; 33 battery-electric yard tractors deployed; $383M PFIP grant for ZE projects; $200M+ for ZE CHE via SWIFT","CARB ZECAP mandate; goal to become world's first ZE port; 300 pieces rolling stock to be replaced with ZE equipment by 2030","21 charging units funded in latest allocation; expanding depot-level charging; LBCT building comprehensive charging network for 300 EVs",Tier 1 - Critical,"https://polb.com/port-info/contact-us/; https://www.worldcargonews.com/news/2026/06/port-of-long-beach-assigns-us58-2m-for-zero-emission-equipment-rollout/; https://www.randomlengthsnews.com/archives/2026/06/30/383-million-port-investment/76318/amp"
"Port Authority of New York and New Jersey",Port Authority,"4 World Trade Center",New York,NY,US,"(212) 435-2426",N/A (web contact form),https://www.panynj.gov,"$9.4B (proposed FY2025); Revenue $2.3B","1700+ ZE ground service equipment at airports (baggage tugs; pushback tractors; belt loaders); light-duty vehicle fleet 50% electric","50% light-duty fleet already electric; 1700+ ZE ground service equipment in use; $45B 10-year capital plan (2026-2035) includes electrification","100% light-duty EV fleet by 2028; 50% direct GHG reduction by 2030; sustainability requirements embedded in airline/terminal agreements","300+ charging ports across all Port Authority facilities; continuing expansion to support 100% light-duty EV goal",Tier 1 - Critical,"https://www.panynj.gov/corporate/en/financial-information/budget.html; https://www.ajot.com/news/port-authority-of-nynj-proposes-9.4-billion-budget-for-2025; https://njbmagazine.com/njb-news-now/port-authority-approves-record-45-billion-capital-plan-for-2026-2035/"
"Georgia Ports Authority (Port of Savannah)",Port Authority,"2 Main St",Garden City,GA,US,"(912) 964-3811",N/A (customer service: (912) 963-5526),https://www.gaports.com,"Revenue $698.7M (2026)","Large terminal fleet at Garden City Terminal and Ocean Terminal; ship-to-shore cranes; RTGs; yard tractors; forklifts","$48.8M EPA Clean Ports grant for ZE equipment deployment; shore power system upgrades; DERA-funded diesel equipment replacements ($9M+)","EPA Clean Ports funded projects; no state-level ZE equipment mandate; voluntary emissions reduction commitments","Shore power connection systems being upgraded to allow ships to plug into grid; limited on-terminal ZE charging infrastructure",Tier 2 - High,"https://www.epa.gov/newsreleases/epa-announces-48763746-clean-ports-investments-georgia-ports-authority; https://gaports.com/; https://georgia.gov/contacts/georgia-ports-authority-contact"
"Port Houston (Port of Houston Authority)",Port Authority,"111 East Loop North",Houston,TX,US,"(713) 670-2644",N/A (web contact form),https://www.porthouston.com,"$726M operating + $569M capital (FY2026)","Terminal tractors; cranes; CHE at Bayport and Barbours Cut terminals; 5 new light-duty EVs","First port in Texas to deploy electric terminal tractor; 5 light-duty EVs purchased; early-stage fleet electrification; renewable electricity procurement","Voluntary sustainability goals; no state ZE equipment mandate; focused on renewable energy purchasing","Limited charging infrastructure; early-stage deployment for terminal tractor and light-duty fleet",Tier 2 - High,"https://www.businesswire.com/news/home/20251123207935/en/Port-Houston-Fiscal-Year-2026-Budget-Approved; https://blog.porthouston.com/greening-the-fleet-new-electric-vehicles-arrive-at-port-houston"
"Northwest Seaport Alliance (Port of Seattle/Tacoma)",Port Authority,"P.O. Box 2985",Tacoma,WA,US,"(800) 657-9808",N/A (web contact form),https://www.nwseaportalliance.com,"~$93M revenue (est.); capital budget ~$270M","Yard tractors; ship-to-shore cranes; CHE; drayage truck fleet transitioning","$16M federal grant for 36-58 ZE drayage trucks; $6.2M WSDOT grant for 19 ZE trucks; $5.12M EV charging depot grant to Zeem Solutions; $28M ZE shore power project","Zero Scope 1 & 2 emissions by 2040; Scope 3 emissions zero by 2050; WA state Clean Fuel Standard","Zeem Solutions 250-vehicle/day EV charging depot in SeaTac (70 overnight spots); ZE truck charging infrastructure expanding",Tier 2 - High,"https://www.nwseaportalliance.com/contact; https://www.geekwire.com/2024/seattle-area-ports-vying-for-500m-in-federal-funding-to-add-zero-emissions-tech/; https://www.truckingdive.com/news/northwest-seaport-alliance-grant-funds-ev-charging-depot-zeem-solutions/752846/"
"Port of Oakland",Port Authority,"530 Water St",Oakland,CA,US,"(510) 627-1100",N/A (toll-free: 1-844-625-7678),https://www.portofoakland.com,"$698M (FY2026)","Yard tractors; top handlers; container cranes; forklifts; reach stackers across maritime terminals","$322M state grant for full decarbonization; $119M state grant for electrifying CHE; 40% heavy-duty yard tractors/top handlers targeted electric by 2026; ZE top picks debuted; 60 UPS electric trucks via partnership","CARB ZECAP mandate; 40% heavy-duty electrified by 2026; 75% by 2030; full decarbonization goal","Solar fleet charging facility (Port Power); expanding terminal charging infrastructure; $36.6M MARAD grant partially for infrastructure",Tier 1 - Critical,"https://www.portofoakland.com/about/contact-us; https://www.oaklandseaport.com/projects/zero-emission-future-seaport; https://www.portofoakland.com/port-of-oakland-targets-clean-ports-grant-for-major-zero-emissions-conversion"
"Virginia Port Authority (Port of Virginia)",Port Authority,"600 World Trade Center",Norfolk,VA,US,"(757) 683-8000",N/A (web contact form),https://www.portofvirginia.com,"$608.2M (FY2026)","116 electric stacking cranes; 27 electric ship-to-shore cranes; 4 electric rail cranes; 100+ hybrid shuttle carriers; 100 diesel yard tractors; expanding to 152/31/7 cranes","First East Coast port entirely powered by clean energy; electric yard tractors (MAFI T230e) deployed; Dominion Energy PPA for 100% clean electricity; growing to 152 electric stacking cranes","Carbon neutral by 2040; 100% clean energy power supply achieved; continuing equipment electrification","On-site charging for electric yard tractors; Dominion Energy and Rappahannock Electric Cooperative clean energy supply; grid capacity for expansion",Tier 1 - Critical,"https://www.portofvirginia.com/who-we-are/newsroom/port-continues-progress-on-sustainability-goal-puts-four-all-electric-yard-tractors-into-service/; https://www.renewableenergyworld.com/wind-power/port-of-virginia-becomes-first-east-coast-port-entirely-powered-by-clean-energy/"
"South Carolina Ports Authority (Port of Charleston)",Port Authority,"200 Ports Authority Dr",Mount Pleasant,SC,US,"(843) 577-8786",N/A (web contact form),https://www.scspa.com,"Not publicly disclosed (handles $75B+ in annual commerce)","6 electric RMG cranes at Leatherman Rail Facility; ship-to-shore cranes; RTGs; yard tractors; CHE","6 electric rail-mounted gantry cranes erected at Navy Base Intermodal Facility; $1.3M EPA planning grant for emissions strategy; early-stage electrification","EPA planning grant for hydrogen feasibility and emissions inventory; no state ZE mandate; voluntary emissions reduction","Limited; Leatherman Rail Facility has electric RMG crane power supply; broader charging infrastructure in planning phase",Tier 3 - Moderate,"https://scspa.com/facilities/headquarters/; https://scspa.com/about-the-port/our-impact/environmental-initiatives/; https://www.epa.gov/newsreleases/biden-harris-administration-announces-1325000-clean-ports-investments-south-carolina"
"Vancouver Fraser Port Authority (Port of Vancouver)",Port Authority,"100 The Pointe",Vancouver,BC,Canada,N/A (web contact form),N/A (web contact form),https://www.portvancouver.com,"Revenue $309.9M CAD (2025)","Shore cranes; yard equipment; container handling equipment across 29 major terminals","ELECTRA program: 6 battery-electric container trucks with 5 trucking companies; LED upgrades; EV fleet chargers; Low-Emission Technology Initiative pilot projects","Zero-emission port by 2050; BC Clean Fuel Standard; Transport Canada Net-Zero Emissions framework","BC Hydro EV Fleet Program partnerships; ELECTRA program provides charging infrastructure support; $3M combined funding from Transport Canada and BC",Tier 2 - High,"https://www.portvancouver.com/about/contact; https://www.portvancouver.com/article/building-zero-emission-port-2050; https://electricautonomy.ca/fleets/commercial-electric-vehicles/2026-06-09/port-of-vancouver-ev-truck-project/"
